  Package                                   Version  Build               Channel                                                                   Size
  + r-rvcheck                                 0.1.8  r41hc72bb7e_1       conda-forge/noarch                                                       48 KB
  + r-rversions                               2.1.1  r41hc72bb7e_0       conda-forge/noarch                                                       71 KB
  + r-sass                                    0.4.0  r41h9951f98_0       conda-forge/osx-64                                                      Cached
  + r-scales                                  1.1.1  r41hc72bb7e_0       conda-forge/noarch                                                      Cached
  + r-scatterpie                              0.1.6  r41hc72bb7e_0       conda-forge/noarch                                                      359 KB
  + r-sessioninfo                             1.1.1  r41hc72bb7e_1002    conda-forge/noarch                                                       57 KB
  + r-shadowtext                              0.0.8  r41hc72bb7e_0       conda-forge/noarch                                                      242 KB
  + r-shiny                                   1.6.0  r41hc72bb7e_0       conda-forge/noarch                                                      Cached
  + r-shinydashboard                          0.7.1  r41hc72bb7e_1002    conda-forge/noarch                                                      Cached
  + r-snow                                    0.4_3  r41hc72bb7e_1002    conda-forge/noarch                                                      Cached
  + r-sourcetools                             0.1.7  r41he49afe7_1002    conda-forge/osx-64                                                      Cached
  + r-spatial                                7.3_14  r41h28b5c78_0       conda-forge/osx-64                                                      155 KB
